name,a1,a2,a3,a4,a5,labs,midterm,final,total,grade
Harry Potter,86,90,64,76,72,68,65,89,80.45,A
Ron Weasley,51,62,59,56,60,53,57,57,56.75,D
Hermione Granger,96,99,100,100,96,98,96,98,97.75,A+
Lord Voldemort,57,99,67,66,92,94,41,25,47.1,F
Albus Dumbledore,97,97,100,99,96,96,96,96,96.45,A+
Severus Snape,74,96,61,78,71,61,92,98,87.9,A
Rubeus Hagrid,48,41,53,36,52,60,52,45,47.8,F
Draco Malfoy,81,86,73,73,60,74,69,69,70.9,B
Vincent Crabbe,39,24,42,17,10,12,49,28,29.15,F
Gregory Goyle,31,44,43,31,49,37,35,20,28.85,F
Neville Longbottom,100,100,100,100,100,100,100,100,100,A+
